cluster_id,representative,feature
1,acc_x_mean,acc_x_mean
2,acc_x_rms,acc_x_abs_sum
2,acc_x_rms,acc_x_rms
2,acc_x_rms,acc_x_std
2,acc_x_rms,acc_y_abs_sum
2,acc_x_rms,acc_y_rms
2,acc_x_rms,acc_y_std
3,acc_x_max,acc_x_max
4,acc_x_min,acc_x_min
4,acc_x_min,acc_y_min
5,acc_y_mean,acc_y_mean
6,acc_y_max,acc_y_max
7,acc_z_mean,acc_z_mean
8,acc_z_std,acc_z_abs_sum
8,acc_z_std,acc_z_max
8,acc_z_std,acc_z_rms
8,acc_z_std,acc_z_std
9,acc_z_min,acc_z_min
10,gyro_x_mean,gyro_x_mean
11,gyro_x_std,gyro_x_std
12,gyro_x_max,gyro_x_max
13,gyro_x_abs_sum,gyro_x_abs_sum
13,gyro_x_abs_sum,gyro_x_rms
14,gyro_x_min,gyro_x_min
15,gyro_y_mean,gyro_y_mean
16,gyro_y_std,gyro_y_std
17,gyro_y_max,gyro_y_max
18,gyro_y_abs_sum,gyro_y_abs_sum
18,gyro_y_abs_sum,gyro_y_rms
19,gyro_y_min,gyro_y_min
20,gyro_z_mean,gyro_z_mean
21,gyro_z_std,gyro_z_std
22,gyro_z_max,gyro_z_max
23,gyro_z_abs_sum,gyro_z_abs_sum
23,gyro_z_abs_sum,gyro_z_rms
23,gyro_z_abs_sum,quat_x_std
23,gyro_z_abs_sum,quat_z_std
24,gyro_z_min,gyro_z_min
25,quat_w_rms,quat_w_abs_sum
25,quat_w_rms,quat_w_max
25,quat_w_rms,quat_w_mean
25,quat_w_rms,quat_w_min
25,quat_w_rms,quat_w_rms
26,quat_w_std,quat_w_std
27,quat_x_mean,quat_x_max
27,quat_x_mean,quat_x_mean
27,quat_x_mean,quat_x_min
28,quat_x_abs_sum,quat_x_abs_sum
28,quat_x_abs_sum,quat_x_rms
29,quat_y_mean,quat_y_abs_sum
29,quat_y_mean,quat_y_mean
29,quat_y_mean,quat_y_min
29,quat_y_mean,quat_y_rms
30,quat_y_std,quat_y_std
31,quat_y_max,quat_y_max
32,quat_z_mean,quat_z_max
32,quat_z_mean,quat_z_mean
32,quat_z_mean,quat_z_min
33,quat_z_abs_sum,quat_z_abs_sum
33,quat_z_abs_sum,quat_z_rms
34,encoder_angle_mean,encoder_angle_abs_sum
34,encoder_angle_mean,encoder_angle_max
34,encoder_angle_mean,encoder_angle_mean
34,encoder_angle_mean,encoder_angle_min
34,encoder_angle_mean,encoder_angle_rms
35,encoder_angle_std,encoder_angle_std
36,grf_x_mean,grf_x_max
36,grf_x_mean,grf_x_mean
36,grf_x_mean,grf_x_min
37,grf_x_std,grf_x_std
38,grf_x_abs_sum,grf_x_abs_sum
38,grf_x_abs_sum,grf_x_rms
39,grt_y_rms,grf_y_max
39,grt_y_rms,grf_y_mean
39,grt_y_rms,grt_y_abs_sum
39,grt_y_rms,grt_y_mean
39,grt_y_rms,grt_y_min
39,grt_y_rms,grt_y_rms
40,grf_y_std,grf_y_std
40,grf_y_std,grt_x_std
41,grf_y_abs_sum,grf_y_abs_sum
41,grf_y_abs_sum,grf_y_rms
42,grf_y_min,grf_y_min
43,grf_z_mean,grf_z_abs_sum
43,grf_z_mean,grf_z_max
43,grf_z_mean,grf_z_mean
43,grf_z_mean,grf_z_min
43,grf_z_mean,grf_z_rms
44,grf_z_std,grf_z_std
45,grt_x_rms,grt_x_abs_sum
45,grt_x_rms,grt_x_max
45,grt_x_rms,grt_x_mean
45,grt_x_rms,grt_x_rms
46,grt_x_min,grt_x_min
47,grt_y_std,grt_y_std
48,grt_y_max,grt_y_max
49,grt_z_mean,grt_z_mean
50,grt_z_std,grt_z_std
51,grt_z_max,grt_z_max
52,grt_z_abs_sum,grt_z_abs_sum
52,grt_z_abs_sum,grt_z_rms
53,grt_z_min,grt_z_min
