cluster_id,representative,size
1,encoder_angle_mean,5
2,quat_w_mean,13
3,grf_x_rms,2
4,grf_x_mean,3
5,grf_y_rms,2
6,acc_x_mean,2
7,acc_z_mean,1
8,gyro_x_mean,1
9,gyro_x_rms,4
10,gyro_y_rms,4
11,gyro_x_max,1
12,gyro_z_rms,8
13,quat_y_std,1
14,gyro_z_mean,1
15,acc_x_max,2
16,acc_x_min,2
17,acc_x_rms,11
18,quat_y_rms,7
19,grt_z_mean,3
20,grt_y_rms,10
21,grf_y_min,2
22,grt_x_min,1
23,grt_z_rms,2
24,grf_z_mean,5
25,gyro_y_mean,1
26,gyro_y_min,1
27,grf_y_std,4
28,grf_z_std,1
29,gyro_z_min,1
30,grf_x_std,1
