subject,true_label,pred_label,count
kaneishi,Ramp-ascent,Level-walk,1356
kaneishi,Level-walk,Ramp-ascent,856
kaneishi,Stop,Level-walk,674
kaneishi,Level-walk,Stop,513
kaneishi,Ramp-ascent,Stop,463
kaneishi,Level-walk,Stair-ascent,424
kaneishi,Level-walk,Ramp-descent,389
kaneishi,Ramp-ascent,Ramp-descent,376
kaneishi,Level-walk,Stair-descent,346
kaneishi,Stair-descent,Ramp-descent,311
kanoga,Level-walk,Ramp-ascent,564
kanoga,Stair-descent,Ramp-descent,426
kanoga,Ramp-ascent,Level-walk,377
kanoga,Level-walk,Stair-descent,375
kanoga,Level-walk,Ramp-descent,363
kanoga,Level-walk,Stair-ascent,353
kanoga,Level-walk,Stop,341
kanoga,Stop,Level-walk,308
kanoga,Ramp-descent,Level-walk,295
kanoga,Stair-ascent,Level-walk,281
