true_label,pred_label,count,rank,ratio_%,,,,,
l,,,,,Ramp-ascent,Level-walk,1733,1,12.54
,,,,,Level-walk,Ramp-ascent,1420,2,10.28
,,,,,Stop,Level-walk,982,3,7.11
,,,,,Level-walk,Stop,854,4,6.18
Level-walk,Stair-ascent,777,5,5.62,,,,,
Level-walk,Ramp-descent,752,6,5.44,,,,,
Stair-descent,Ramp-descent,737,7,5.33,,,,,
Level-walk,Stair-descent,721,8,5.22,,,,,
,,,,,Ramp-ascent,Stop,578,9,4.18
Ramp-ascent,Ramp-descent,548,10,3.97,,,,,
Ramp-descent,Level-walk,530,11,3.84,,,,,
Stair-ascent,Level-walk,508,12,3.68,,,,,
,,,,,Stop,Ramp-ascent,426,13,3.08
Ramp-descent,Ramp-ascent,384,14,2.78,,,,,
,,,,,Ramp-descent,Stop,326,15,2.36
Stair-ascent,Stair-descent,312,16,2.26,,,,,
Stair-ascent,Ramp-descent,300,17,2.17,,,,,
Stair-descent,Stair-ascent,268,18,1.94,,,,,
,,,,,Stair-ascent,Stop,242,19,1.75
Stair-ascent,Ramp-ascent,218,20,1.58,,,,,
,,,,,Stair-descent,Stop,204,21,1.48
,,,,,Stop,Stair-descent,180,22,1.3
Stair-descent,Ramp-ascent,173,23,1.25,,,,,
,,,,,Stop,Ramp-descent,170,24,1.23
Stair-descent,Level-walk,151,25,1.09,,,,,
,,,,,Stop,Stair-ascent,141,26,1.02
Ramp-descent,Stair-descent,136,27,0.98,,,,,
Ramp-ascent,Stair-ascent,31,28,0.22,,,,,
Ramp-ascent,Stair-descent,11,29,0.08,,,,,
Ramp-descent,Stair-ascent,4,30,0.03,,,,,
