subject,phase,channel,condA,condB,has_significance,n_sig_clusters,best_p_corrected,max_abs_t,total_sig_span_pct,max_abs_dz_mean_in_clusters,mean_abs_dz,,,,
kaneishi,stance,gyro_z,ramp_ascent,stair_ascent,TRUE,3,0,8.862218499,85,1.815846694,1.672362205,,gyro_z,85,1.672362205
kaneishi,stance,grf_z,ramp_ascent,stair_ascent,TRUE,1,3.52E-12,7.977387923,23,1.873598175,0.969790661,,grf_z,23,0.969790661
kaneishi,stance,grt_y,ramp_ascent,stair_ascent,TRUE,2,0.000202562,4.518958393,17,1.294381274,0.751991636,,grt_y,17,0.751991636
kaneishi,stance,grt_x,ramp_ascent,stair_ascent,TRUE,2,9.59E-06,9.388473353,11,2.104131144,0.761060941,,grt_x,11,0.761060941
kaneishi,stance,grf_x,ramp_ascent,stair_ascent,TRUE,1,0.003025415,8.079429626,8,1.983137063,0.640945675,,grf_x,8,0.640945675
kaneishi,stance,gyro_y,ramp_ascent,stair_ascent,TRUE,2,4.74E-06,11.51721644,7,2.061822037,0.706095034,,gyro_y,7,0.706095034
kaneishi,stance,acc_z,ramp_ascent,stair_ascent,TRUE,1,8.58E-07,8.202767935,3,1.983484371,0.709469839,,acc_z,3,0.709469839
kaneishi,stance,grt_z,ramp_ascent,stair_ascent,TRUE,1,0.019769325,5.006731802,2,1.440606543,0.456759297,,grt_z,2,0.456759297
kaneishi,stance,acc_x,ramp_ascent,stair_ascent,TRUE,1,0.016244994,5.610826691,0,1.6917279,0.296277318,,acc_x,0,0.296277318
kaneishi,stance,gyro_x,ramp_ascent,stair_ascent,TRUE,1,0.018905749,5.649848014,0,1.703493271,0.559428489,,gyro_x,0,0.559428489
kaneishi,stance,acc_y,ramp_ascent,stair_ascent,FALSE,0,1,0,0,,0.189286386,,acc_y,0,0.189286386
kaneishi,stance,quat_w,ramp_ascent,stair_ascent,FALSE,0,1,0,0,,0.332276933,,quat_w,0,0.332276933
kaneishi,stance,quat_x,ramp_ascent,stair_ascent,FALSE,0,1,0,0,,0.054649744,,quat_x,0,0.054649744
kaneishi,stance,quat_y,ramp_ascent,stair_ascent,FALSE,0,1,0,0,,0.30688986,,quat_y,0,0.30688986
kaneishi,stance,quat_z,ramp_ascent,stair_ascent,FALSE,0,1,0,0,,0.072255442,,quat_z,0,0.072255442
kaneishi,stance,grf_y,ramp_ascent,stair_ascent,FALSE,0,1,0,0,,0.654335355,,grf_y,0,0.654335355
,,,,,,,,,,,,,,,
subject,phase,channel,condA,condB,has_significance,n_sig_clusters,best_p_corrected,max_abs_t,total_sig_span_pct,max_abs_dz_mean_in_clusters,,,,,
kaneishi,stance,grf_z,level,stair_ascent,TRUE,3,0,27.36417722,80,4.642190997,,,gyro_z,80,4.642190997
kaneishi,stance,grt_x,level,stair_ascent,TRUE,3,0,18.04073049,71,3.421615315,,,grf_z,71,3.421615315
kaneishi,stance,gyro_z,level,stair_ascent,TRUE,3,0,23.81164484,70,3.985235359,,,grt_y,70,3.985235359
kaneishi,stance,grt_z,level,stair_ascent,TRUE,2,0,10.27868738,54,2.102790494,,,grt_x,54,2.102790494
kaneishi,stance,grt_y,level,stair_ascent,TRUE,2,2.22E-16,23.32108763,43,3.875547281,,,grf_x,43,3.875547281
kaneishi,stance,gyro_y,level,stair_ascent,TRUE,4,0,18.95519484,39,4.237616377,,,gyro_y,39,4.237616377
kaneishi,stance,grf_x,level,stair_ascent,TRUE,4,0,10.5451936,38,2.349201561,,,acc_z,38,2.349201561
kaneishi,stance,grf_y,level,stair_ascent,TRUE,6,1.18E-12,16.34433208,31,2.995877402,,,grt_z,31,2.995877402
kaneishi,stance,acc_z,level,stair_ascent,TRUE,5,0,20.49660735,14,4.248432176,,,acc_x,14,4.248432176
kaneishi,stance,gyro_x,level,stair_ascent,TRUE,4,8.25E-09,9.333504207,14,2.319625887,,,gyro_x,14,2.319625887
kaneishi,stance,acc_x,level,stair_ascent,FALSE,0,1,0,0,,,,acc_y,0,0
kaneishi,stance,acc_y,level,stair_ascent,FALSE,0,1,0,0,,,,quat_w,0,0
kaneishi,stance,quat_w,level,stair_ascent,FALSE,0,1,0,0,,,,quat_x,0,0
kaneishi,stance,quat_x,level,stair_ascent,FALSE,0,1,0,0,,,,quat_y,0,0
kaneishi,stance,quat_y,level,stair_ascent,FALSE,0,1,0,0,,,,quat_z,0,0
kaneishi,stance,quat_z,level,stair_ascent,FALSE,0,1,0,0,,,,grf_y,0,0
